Date,Open,High,Low,Close,Adj Close,Volume
2019-09-17,5990.0,6035.0,5985.0,6030.0,5542.77880859375,92037500
2019-09-18,5990.0,6040.0,5990.0,6040.0,5551.970703125,28667000
2019-09-19,6015.0,6045.0,6000.0,6030.0,5542.77880859375,61988500
2019-09-20,6050.0,6050.0,5990.0,5990.0,5506.0107421875,133433000
2019-09-23,6030.0,6030.0,6000.0,6025.0,5538.18310546875,47231500
2019-09-24,5980.0,6000.0,5940.0,5945.0,5464.646484375,79718500
2019-09-25,5900.0,5935.0,5780.0,5935.0,5455.4541015625,88620000
2019-09-26,6000.0,6060.0,5970.0,6060.0,5570.35498046875,109859000
2019-09-27,6005.0,6075.0,6000.0,6070.0,5579.54638671875,48010000
2019-09-30,6070.0,6070.0,6005.0,6070.0,5579.54638671875,73391000
2019-10-01,6010.0,6065.0,6010.0,6040.0,5551.970703125,40057000
2019-10-02,6010.0,6070.0,6010.0,6050.0,5561.16162109375,52376500
2019-10-03,6010.0,6045.0,5950.0,6040.0,5551.970703125,50269000
2019-10-04,5980.0,6065.0,5980.0,6045.0,5556.56689453125,56890500
2019-10-07,6070.0,6080.0,6050.0,6070.0,5579.54638671875,56705500
2019-10-08,6080.0,6100.0,6015.0,6100.0,5607.123046875,46997500
2019-10-09,6100.0,6100.0,6050.0,6070.0,5579.54638671875,41496500
2019-10-10,6020.0,6110.0,6020.0,6110.0,5616.31396484375,65806500
2019-10-11,6080.0,6155.0,6080.0,6125.0,5630.1025390625,40863500
2019-10-14,6130.0,6200.0,6130.0,6200.0,5699.04296875,37514500
2019-10-15,6190.0,6190.0,6145.0,6175.0,5676.0625,40935000
2019-10-16,6200.0,6215.0,6175.0,6215.0,5712.830078125,65776500
2019-10-17,6185.0,6210.0,6105.0,6115.0,5620.9111328125,45666500
2019-10-18,6160.0,6170.0,6140.0,6160.0,5662.275390625,41008500
2019-10-21,6200.0,6255.0,6185.0,6220.0,5717.42724609375,59971500
2019-10-22,6270.0,6300.0,6225.0,6300.0,5790.96337890625,67259500
2019-10-23,6300.0,6305.0,6260.0,6275.0,5767.98291015625,62219000
2019-10-24,6290.0,6320.0,6270.0,6300.0,5790.96337890625,73101000
2019-10-25,6320.0,6325.0,6175.0,6200.0,5699.04296875,61929500
2019-10-28,6200.0,6250.0,6200.0,6205.0,5703.6396484375,43249500
2019-10-29,6205.0,6240.0,6150.0,6220.0,5717.42724609375,79861500
2019-10-30,6280.0,6285.0,6200.0,6265.0,5758.791015625,60738000
2019-10-31,6270.0,6300.0,6250.0,6290.0,5781.7705078125,58420500
2019-11-01,6300.0,6325.0,6275.0,6325.0,5813.943359375,42080500
2019-11-04,6350.0,6380.0,6260.0,6275.0,5767.98291015625,43794500
2019-11-05,6350.0,6360.0,6270.0,6360.0,5846.11572265625,66161500
2019-11-06,6380.0,6380.0,6295.0,6295.0,5786.3671875,63393000
2019-11-07,6335.0,6335.0,6250.0,6285.0,5777.1748046875,61972000
2019-11-08,6315.0,6315.0,6250.0,6280.0,5772.5791015625,90040500
2019-11-11,6335.0,6340.0,6265.0,6295.0,5786.3671875,70207000
2019-11-12,6220.0,6280.0,6220.0,6265.0,5758.791015625,47635500
2019-11-13,6265.0,6285.0,6265.0,6280.0,5772.5791015625,40083500
2019-11-14,6265.0,6280.0,6210.0,6270.0,5763.38671875,37862000
2019-11-15,6280.0,6290.0,6255.0,6275.0,5767.98291015625,47138000
2019-11-18,6245.0,6285.0,6210.0,6280.0,5772.5791015625,65599000
2019-11-19,6330.0,6350.0,6300.0,6315.0,5804.75048828125,60115000
2019-11-20,6255.0,6350.0,6255.0,6350.0,5836.9228515625,43229500
2019-11-21,6350.0,6350.0,6300.0,6300.0,5790.96337890625,57523500
2019-11-22,6280.0,6310.0,6270.0,6305.0,5795.5595703125,56035000
2019-11-25,6330.0,6335.0,6275.0,6275.0,5767.98291015625,55133500
2019-11-26,6330.0,6330.0,6270.0,6285.0,5777.1748046875,192783500
2019-11-27,6270.0,6300.0,6240.0,6300.0,5790.96337890625,58833500
2019-11-28,6295.0,6295.0,6245.0,6250.0,5745.00244140625,44248000
2019-11-29,6230.0,6295.0,6225.0,6280.0,5772.5791015625,52954500
2019-12-02,6280.0,6425.0,6270.0,6425.0,5905.86279296875,49909000
2019-12-03,6420.0,6420.0,6345.0,6375.0,5859.9033203125,42823000
2019-12-04,6360.0,6400.0,6355.0,6365.0,5850.7109375,37552000
2019-12-05,6360.0,6385.0,6330.0,6340.0,5827.73095703125,54168000
2019-12-06,6340.0,6395.0,6320.0,6395.0,5896.88916015625,69920500
2019-12-09,6370.0,6395.0,6360.0,6395.0,5896.88916015625,51667500
2019-12-10,6395.0,6400.0,6360.0,6365.0,5869.22607421875,57654000
2019-12-11,6365.0,6385.0,6350.0,6380.0,5883.05810546875,48469000
2019-12-12,6400.0,6405.0,6340.0,6340.0,5846.17333984375,79198500
2019-12-13,6395.0,6420.0,6350.0,6360.0,5864.61572265625,70822500
2019-12-16,6340.0,6395.0,6340.0,6360.0,5864.61572265625,78684000
2019-12-17,6395.0,6500.0,6365.0,6500.0,5993.71044921875,102914500
2019-12-18,6500.0,6800.0,6440.0,6755.0,6228.8486328125,181804000
2019-12-19,6700.0,6720.0,6590.0,6600.0,6085.9208984375,74171000
2019-12-20,6680.0,6740.0,6610.0,6660.0,6141.248046875,99453000
2019-12-23,6680.0,6730.0,6650.0,6660.0,6141.248046875,46558500
2019-12-26,6660.0,6725.0,6660.0,6680.0,6159.6904296875,38188500
2019-12-27,6670.0,6700.0,6670.0,6695.0,6173.52197265625,29945000
2019-12-30,6680.0,6720.0,6670.0,6685.0,6164.30078125,61168000
2020-01-02,6695.0,6780.0,6680.0,6690.0,6168.9111328125,49445000
2020-01-03,6750.0,6800.0,6725.0,6800.0,6270.34375,47755500
2020-01-06,6720.0,6750.0,6690.0,6735.0,6210.40625,27300000
2020-01-07,6735.0,6770.0,6730.0,6740.0,6215.0166015625,45022500
2020-01-08,6670.0,6745.0,6670.0,6680.0,6159.6904296875,53692500
2020-01-09,6740.0,6755.0,6730.0,6740.0,6215.0166015625,40363500
2020-01-10,6765.0,6825.0,6710.0,6725.0,6201.18505859375,73362000
2020-01-13,6740.0,6760.0,6735.0,6745.0,6219.626953125,67855000
2020-01-14,6745.0,6885.0,6740.0,6870.0,6334.89111328125,93582000
2020-01-15,6870.0,7060.0,6800.0,6835.0,6302.6171875,75623500
2020-01-16,6805.0,6890.0,6795.0,6850.0,6316.44873046875,88931500
2020-01-17,6840.0,6890.0,6800.0,6875.0,6339.50146484375,38249500
2020-01-20,6950.0,6975.0,6830.0,6835.0,6302.6171875,93554500
2020-01-21,6885.0,6895.0,6825.0,6830.0,6298.00634765625,103984500
2020-01-22,6855.0,6895.0,6835.0,6840.0,6307.2275390625,94311500
2020-01-23,6885.0,6895.0,6830.0,6840.0,6307.2275390625,87728000
2020-01-24,6820.0,6880.0,6810.0,6810.0,6279.564453125,69653500
2020-01-27,6865.0,6940.0,6815.0,6840.0,6307.2275390625,39679000
2020-01-28,6835.0,6845.0,6755.0,6790.0,6261.12158203125,82615000
2020-01-29,6800.0,6845.0,6770.0,6785.0,6256.51171875,43821000
2020-01-30,6845.0,6845.0,6730.0,6740.0,6215.0166015625,71990000
2020-01-31,6800.0,6805.0,6480.0,6480.0,5975.2685546875,163136500
2020-02-03,6480.0,6585.0,6370.0,6440.0,5938.3837890625,149797000
2020-02-04,6570.0,6620.0,6520.0,6600.0,6085.9208984375,113316500
2020-02-05,6780.0,6780.0,6650.0,6730.0,6205.79541015625,123002500
2020-02-06,6740.0,6780.0,6680.0,6740.0,6215.0166015625,154693500
2020-02-07,6710.0,6780.0,6705.0,6760.0,6233.45947265625,82609000
2020-02-10,6760.0,6785.0,6630.0,6785.0,6256.51171875,66578500
2020-02-11,6785.0,6785.0,6745.0,6780.0,6251.9013671875,77526500
2020-02-12,6800.0,6800.0,6760.0,6800.0,6270.34375,69971500
2020-02-13,6820.0,6820.0,6740.0,6790.0,6261.12158203125,49737000
2020-02-14,6780.0,6795.0,6675.0,6680.0,6159.6904296875,147028500
2020-02-17,6680.0,6750.0,6680.0,6720.0,6196.5751953125,115319000
2020-02-18,6685.0,6720.0,6670.0,6695.0,6173.52197265625,98436500
2020-02-19,6665.0,6760.0,6665.0,6695.0,6173.52197265625,74594000
2020-02-20,6690.0,6695.0,6565.0,6595.0,6081.31005859375,136724500
2020-02-21,6600.0,6660.0,6595.0,6615.0,6099.75244140625,98261000
2020-02-24,6565.0,6600.0,6510.0,6525.0,6016.7626953125,84910000
2020-02-25,6550.0,6560.0,6510.0,6530.0,6021.373046875,86446500
2020-02-26,6500.0,6535.0,6420.0,6420.0,5919.94189453125,92824500
2020-02-27,6470.0,6475.0,6200.0,6290.0,5800.0673828125,129254500
2020-02-28,6200.0,6290.0,6035.0,6290.0,5800.0673828125,169946500
2020-03-02,6290.0,6290.0,6035.0,6080.0,5606.4248046875,144871500
2020-03-03,6200.0,6350.0,6200.0,6320.0,5827.73095703125,114663500
2020-03-04,6315.0,6500.0,6260.0,6440.0,5938.3837890625,83025000
2020-03-05,6540.0,6540.0,6340.0,6435.0,5933.7734375,77583000
2020-03-06,6350.0,6350.0,6200.0,6200.0,5717.078125,77835500
2020-03-09,6000.0,6040.0,5785.0,5785.0,5334.40185546875,140889500
2020-03-10,5840.0,6010.0,5840.0,5925.0,5463.4970703125,133667000
2020-03-11,5950.0,5980.0,5790.0,5850.0,5394.3388671875,93204500
2020-03-12,5600.0,5640.0,5460.0,5560.0,5126.927734375,129845500
2020-03-13,5560.0,5560.0,5560.0,5560.0,5126.927734375,0
2020-03-16,5560.0,5560.0,5560.0,5560.0,5126.927734375,0
2020-03-17,5495.0,5505.0,5120.0,5120.0,4721.19970703125,212200000
2020-03-18,5120.0,5380.0,4765.0,5000.0,4610.546875,180053500
2020-03-19,4995.0,4995.0,4650.0,4650.0,4287.80859375,264419000
2020-03-20,4600.0,5385.0,4325.0,4735.0,4366.18798828125,335132000
2020-03-23,4760.0,5000.0,4405.0,4430.0,4084.9443359375,217843500
2020-03-24,4450.0,4995.0,4450.0,4500.0,4149.4912109375,253971000
2020-03-26,4650.0,5395.0,4650.0,5280.0,4868.7373046875,331633000
2020-03-27,5360.0,5895.0,5355.0,5510.0,5080.82177734375,269683000
2020-03-30,5480.0,5555.0,5155.0,5495.0,5066.99072265625,159964500
2020-03-31,5660.0,5710.0,5485.0,5525.0,5094.65478515625,182638500
2020-04-01,5560.0,5750.0,5425.0,5480.0,5053.15966796875,152831500
2020-04-02,5470.0,5470.0,5360.0,5410.0,4988.61181640625,136623500
2020-04-03,5460.0,5530.0,5365.0,5495.0,5066.99072265625,110506000
2020-04-06,5520.0,5740.0,5495.0,5735.0,5288.2958984375,78184000
2020-04-07,5735.0,6100.0,5580.0,5655.0,5214.52783203125,149153500
2020-04-08,5655.0,5660.0,5480.0,5635.0,5196.0859375,106111500
2020-04-09,5600.0,5695.0,5500.0,5595.0,5159.20166015625,89997000
2020-04-13,5540.0,5615.0,5480.0,5500.0,5071.60205078125,58043000
2020-04-14,5505.0,5590.0,5445.0,5515.0,5085.43310546875,95796000
2020-04-15,5515.0,5630.0,5445.0,5485.0,5057.77001953125,95342000
2020-04-16,5485.0,5520.0,5185.0,5240.0,4831.85302734375,176990500
2020-04-17,5300.0,5445.0,5280.0,5425.0,5002.44384765625,160935500
2020-04-20,5430.0,5500.0,5330.0,5355.0,4937.8955078125,90744000
2020-04-21,5355.0,5355.0,5160.0,5160.0,4840.337890625,73431000
2020-04-22,5160.0,5235.0,5045.0,5145.0,4826.26708984375,107263500
2020-04-23,5180.0,5245.0,5120.0,5120.0,4802.81591796875,105419500
2020-04-24,5120.0,5140.0,4920.0,4920.0,4615.2060546875,131149500
2020-04-27,4940.0,5020.0,4855.0,4960.0,4652.72802734375,151103500
2020-04-28,4960.0,4975.0,4805.0,4830.0,4530.78125,180488000
2020-04-29,4825.0,4850.0,4800.0,4850.0,4549.54248046875,121161000
2020-04-30,4880.0,5250.0,4880.0,5170.0,4849.71875,174081000
